rho,analysis,unadjusted,adjusted
0.4,selection,0.999999999673409,0.999999888085523
0.6,selection,1,1
0.8,selection,1,1
0.4,selection,0.637609970863845,0.268613767763216
0.6,selection,0.96567503937264,0.80279660426868
0.8,selection,0.999971096036198,0.99886535994697
